Day,Lighting,Others,Power,Air,Total,weekday,Holiday
2021-05-01,57.859,164.026,150.925638,1,373.810638,Sat,1
2021-05-02,61.329,170.661,153.542773,0,385.532773,Sun,1
2021-05-03,52.559,153.85999999999999,162.455036,0,368.874036,Mon,0
2021-05-04,27.157,142.11,190.401666,0,359.66866600000003,Tue,0
2021-05-05,14.937000000000001,141.365,96.532341,0,252.834341,Wed,0
2021-05-06,151.543,252.266,163.735893,0,567.544893,Thu,0
2021-05-07,137.576,265.376,90.321215,4,497.273215,Fri,0
2021-05-08,96.808,202.206,159.786805,4,462.80080499999997,Sat,1
2021-05-09,67.12299999999999,173.335,181.672136,4,426.130136,Sun,1
2021-05-10,124.435,234.587,187.283113,1,547.305113,Mon,0
2021-05-11,150.705,271.478,85.611779,1,508.794779,Tue,0
2021-05-12,115.182,231.2,142.734788,1,490.116788,Wed,0
2021-05-13,137.82899999999998,283.48,80.01465400000001,1,502.323654,Thu,0
2021-05-14,125.51999999999998,235.47,176.655242,4,541.6452419999999,Fri,0
2021-05-15,100.006,207.944,174.805418,6,488.755418,Sat,1
2021-05-16,62.997,189.768,101.143069,1,354.908069,Sun,1
2021-05-17,134.42,253.678,85.963373,4,478.061373,Mon,0
2021-05-18,139.275,275.532,85.630823,6,506.437823,Tue,0
2021-05-19,111.741,254.229,79.302779,3,448.272779,Wed,0
2021-05-20,134.682,258.456,96.874422,0,490.012422,Thu,0
2021-05-21,134.747,270.402,91.587337,15,511.736337,Fri,0
2021-05-22,85.10199999999999,214.78300000000002,89.615409,6,395.500409,Sat,1
2021-05-23,66.43599999999999,176.641,140.140173,4,387.217173,Sun,1
2021-05-24,140.01999999999998,237.016,151.007045,11,539.043045,Mon,0
2021-05-25,133.229,239.769,183.644077,14,570.642077,Tue,0
2021-05-26,111.781,220.848,167.229426,11,510.858426,Wed,0
2021-05-27,135.523,265.379,79.695086,1,481.597086,Thu,0
2021-05-28,132.482,247.76,141.46519,4,525.70719,Fri,0
2021-05-29,131.514,226.797,129.222198,12,499.533198,Sat,1
2021-05-30,70.804,188.536,139.632687,5,403.972687,Sun,1
2021-05-31,123.76949999999998,231.01,164.885098,6,525.664598,Mon,0
